mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.011416149139404298,0.006983170105381436,0.0039020061492919924,0.00039020165911441313,0.001,0.05,"{'alpha': np.float64(0.001), 'l1_ratio': 0.05}",-0.6588198544597196,-0.639780086816921,-0.6618491661978706,-0.6556390815247237,-0.6728435023187799,-0.6577863382636029,0.010706341285419693,1
0.01147770881652832,0.007075674467562852,0.004194068908691406,0.00024059288396270225,0.001,0.2,"{'alpha': np.float64(0.001), 'l1_ratio': 0.2}",-0.6588414428891367,-0.639915356234618,-0.6620738101404029,-0.6556334697716604,-0.6728136245946351,-0.6578555407260906,0.010670500380580364,2
0.010596561431884765,0.007181823977835088,0.0036839008331298827,0.0012086764652427344,0.001,0.5,"{'alpha': np.float64(0.001), 'l1_ratio': 0.5}",-0.658890944382624,-0.6401525228985617,-0.6622471777414051,-0.6556068175318549,-0.6727335410950124,-0.6579262007298916,0.010584347532174975,3
0.005637502670288086,0.0014075679141422725,0.003017091751098633,0.0006152712761459968,0.001,0.8,"{'alpha': np.float64(0.001), 'l1_ratio': 0.8}",-0.6589563984948256,-0.6402492666460496,-0.6622583951216691,-0.6556033768529013,-0.6726601658479412,-0.6579455205926774,0.010533627930256934,5
0.0044039726257324215,0.0005911450582515789,0.0027269840240478514,0.0003632852792195969,0.001,0.95,"{'alpha': np.float64(0.001), 'l1_ratio': 0.95}",-0.6589894280027161,-0.6402980798339183,-0.6622640510800053,-0.6556180230538212,-0.6726580488099748,-0.6579655261560872,0.010517084613237113,6
0.004090595245361328,0.00015608165832535763,0.0025072097778320312,7.404653138154479e-05,0.0025650209056800456,0.05,"{'alpha': np.float64(0.0025650209056800456), 'l1_ratio': 0.05}",-0.658996243037038,-0.6401924156427626,-0.662146976731776,-0.6556571846866063,-0.6726874737310393,-0.6579360587658444,0.010549788648388923,4
0.004293394088745117,0.00013557557986674845,0.0025977611541748045,0.0001219758771155376,0.0025650209056800456,0.2,"{'alpha': np.float64(0.0025650209056800456), 'l1_ratio': 0.2}",-0.6590690933394794,-0.6403961783103128,-0.6622807962643039,-0.6556621318147527,-0.6726480158970762,-0.658011243125185,0.010482290595481203,7
0.004175376892089844,0.0002312335945283514,0.002832794189453125,0.0005541941400236954,0.0025650209056800456,0.5,"{'alpha': np.float64(0.0025650209056800456), 'l1_ratio': 0.5}",-0.6592714665941104,-0.6406564805093851,-0.6623109510411828,-0.655726321539189,-0.6726179507328137,-0.6581166340833362,0.010390232666537361,8
0.004065847396850586,0.0003022249280880333,0.0026397228240966795,0.00023074910312370815,0.0025650209056800456,0.8,"{'alpha': np.float64(0.0025650209056800456), 'l1_ratio': 0.8}",-0.6594806812505412,-0.6409327689303473,-0.6623465518470697,-0.6558109615870473,-0.6726067592108455,-0.6582355445651702,0.010298030917762685,9
0.0041080951690673825,0.00014100152977528815,0.002550506591796875,7.808688563955099e-05,0.0025650209056800456,0.95,"{'alpha': np.float64(0.0025650209056800456), 'l1_ratio': 0.95}",-0.6595940379029738,-0.6410756978182987,-0.662366012378462,-0.6558654935659809,-0.6726109800974496,-0.658302444352633,0.010252946107878266,11
0.004271793365478516,0.00036121453059414837,0.0026477813720703126,0.00045689830344612816,0.006579332246575682,0.05,"{'alpha': np.float64(0.006579332246575682), 'l1_ratio': 0.05}",-0.659503267605777,-0.6409177256380905,-0.6623625491038341,-0.6558389574628063,-0.6725616096477884,-0.6582368218916592,0.010291024272576317,10
0.00428624153137207,0.0006653183703030198,0.002617073059082031,0.0003941104661340229,0.006579332246575682,0.2,"{'alpha': np.float64(0.006579332246575682), 'l1_ratio': 0.2}",-0.6597756095064111,-0.641256832559774,-0.6624148869240604,-0.6559786505751093,-0.6725696908813362,-0.6583991340893383,0.010183740740727656,12
0.004260206222534179,0.00015992961898703316,0.0025281429290771483,0.0001034909554724365,0.006579332246575682,0.5,"{'alpha': np.float64(0.006579332246575682), 'l1_ratio': 0.5}",-0.6604705671400529,-0.6419714478142772,-0.662548837903153,-0.6563429808668196,-0.6726666670945808,-0.6588001001637768,0.009983648112225487,13
0.003970289230346679,0.00010906232158043759,0.0023960113525390626,2.61072589891999e-05,0.006579332246575682,0.8,"{'alpha': np.float64(0.006579332246575682), 'l1_ratio': 0.8}",-0.6612744165442379,-0.642770697883307,-0.6627718417447728,-0.6567435520838495,-0.6728085535520756,-0.6592738123616486,0.009779395178753045,15
0.004199600219726563,0.0003454155384396622,0.0027996063232421874,0.0005452362912044213,0.006579332246575682,0.95,"{'alpha': np.float64(0.006579332246575682), 'l1_ratio': 0.95}",-0.6617267627502197,-0.6432127380434239,-0.6629220567737992,-0.6569576771042098,-0.6728850402839321,-0.6595408549911169,0.009670141781881489,16
0.00415492057800293,0.0009147519936208867,0.0022192001342773438,0.00032589456420915213,0.01687612475788148,0.05,"{'alpha': np.float64(0.01687612475788148), 'l1_ratio': 0.05}",-0.6608837322349811,-0.6423321915439446,-0.6627286501098536,-0.6565893367005501,-0.6726581735184568,-0.6590384168215572,0.00987539102664058,14
0.004733753204345703,0.0012388192239900994,0.002964019775390625,0.0006108680231314316,0.01687612475788148,0.2,"{'alpha': np.float64(0.01687612475788148), 'l1_ratio': 0.2}",-0.6617448519822959,-0.6431916311683846,-0.6630346783313024,-0.6570130036142372,-0.6728171255498017,-0.6595602581292044,0.009664461019606854,17
