mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.012376976013183594,0.008732554799629266,0.0038585662841796875,0.00044004880394429136,0.001,0.05,"{'alpha': np.float64(0.001), 'l1_ratio': 0.05}",-0.6842060919723116,-0.7004343891498461,-0.6332114736089817,-0.6262012742406102,-0.6593369062256065,-0.6606780270394712,0.02856219464143572,1
0.007134532928466797,0.0013082306052276177,0.0033729076385498047,0.000652519498108905,0.001,0.2,"{'alpha': np.float64(0.001), 'l1_ratio': 0.2}",-0.6842511313097246,-0.7004782351674338,-0.6332908711248647,-0.6262377998289702,-0.659504924159895,-0.6607525923181777,0.028556196321742163,2
0.007665014266967774,0.0023494738469083645,0.0048824787139892575,0.0031089927689091426,0.001,0.5,"{'alpha': np.float64(0.001), 'l1_ratio': 0.5}",-0.6843817312689211,-0.7005643752676183,-0.6334976249203083,-0.6263292763484379,-0.6600380997153,-0.6609622215041171,0.02853560224379346,3
0.012829732894897462,0.008173788225775054,0.006482601165771484,0.0033268423255669102,0.001,0.8,"{'alpha': np.float64(0.001), 'l1_ratio': 0.8}",-0.6846406949036979,-0.7006439974756431,-0.6338558872321249,-0.6264971542778178,-0.6602213574264494,-0.6611718182631465,0.028489425718823964,5
0.006024885177612305,0.000630281209256602,0.0039980411529541016,0.0009282784926039538,0.001,0.95,"{'alpha': np.float64(0.001), 'l1_ratio': 0.95}",-0.6848441516745766,-0.7006883824627603,-0.634200106680329,-0.6267232705449371,-0.6602072141280634,-0.6613326250981333,0.028414485910644504,6
0.0047054290771484375,0.0008987551430839729,0.0030719757080078123,0.0005171288186462589,0.0025650209056800456,0.05,"{'alpha': np.float64(0.0025650209056800456), 'l1_ratio': 0.05}",-0.6845674046244903,-0.7006788288405575,-0.6339921983922792,-0.626668815549315,-0.659888883645086,-0.6611592262103456,0.02842179236777837,4
0.0047149658203125,0.0008075668837574011,0.0030284881591796874,0.0004753695696392555,0.0025650209056800456,0.2,"{'alpha': np.float64(0.0025650209056800456), 'l1_ratio': 0.2}",-0.6846868699511508,-0.7008054422256764,-0.6342383087631068,-0.6268257834526091,-0.660168270192147,-0.661344934916938,0.028389093354102814,7
0.0048502922058105465,0.000626724141418361,0.002811622619628906,0.0005033127089145895,0.0025650209056800456,0.5,"{'alpha': np.float64(0.0025650209056800456), 'l1_ratio': 0.5}",-0.6848742835840562,-0.7010623893876173,-0.6347180975381774,-0.627141849634264,-0.6601628264703155,-0.6615918893228862,0.028323270990352176,8
0.00452728271484375,0.0010057593575565956,0.0033417701721191405,0.0004885832915944201,0.0025650209056800456,0.8,"{'alpha': np.float64(0.0025650209056800456), 'l1_ratio': 0.8}",-0.6849116162598893,-0.7013633718881759,-0.6349339239059899,-0.6272738043054443,-0.6601331835879215,-0.6617231799894842,0.028340784059428824,10
0.004480886459350586,0.0008232790579759119,0.003263044357299805,0.0007999931464865968,0.0025650209056800456,0.95,"{'alpha': np.float64(0.0025650209056800456), 'l1_ratio': 0.95}",-0.6849306482655683,-0.7015192713436829,-0.6350439505156127,-0.6273419118910897,-0.6601414643395528,-0.6617954492711013,0.028350111330935755,11
0.0043217182159423825,0.0005595992067244007,0.0029169559478759766,0.00039962625562456447,0.006579332246575682,0.05,"{'alpha': np.float64(0.006579332246575682), 'l1_ratio': 0.05}",-0.6847846511685494,-0.7014184989760894,-0.6348764833141721,-0.6273688850133159,-0.660152778138912,-0.6617202593222078,0.028323059959678733,9
0.004428339004516601,0.0008974636685633186,0.0029374122619628905,0.0005850800208759748,0.006579332246575682,0.2,"{'alpha': np.float64(0.006579332246575682), 'l1_ratio': 0.2}",-0.6849121586324668,-0.7018017373416512,-0.635279504002572,-0.6276287696766227,-0.660260387785995,-0.6619765114878615,0.028310899600713604,12
0.00477142333984375,0.001018290751924341,0.0029992103576660157,0.0006183791974609794,0.006579332246575682,0.5,"{'alpha': np.float64(0.006579332246575682), 'l1_ratio': 0.5}",-0.6850543865960689,-0.7025828830991088,-0.6358725835756476,-0.6279759634420916,-0.6603206521067477,-0.6623612937639329,0.02835813688552061,13
0.004579687118530273,0.0004932320817945143,0.0030454158782958984,0.0007244760770086407,0.006579332246575682,0.8,"{'alpha': np.float64(0.006579332246575682), 'l1_ratio': 0.8}",-0.6852487766020675,-0.7034514259389893,-0.6365565066181527,-0.628365522622968,-0.6603882277058689,-0.6628020918976093,0.02841392898785251,14
0.004919576644897461,0.00114818260247006,0.003680133819580078,0.0011487883644820172,0.006579332246575682,0.95,"{'alpha': np.float64(0.006579332246575682), 'l1_ratio': 0.95}",-0.6853508809563055,-0.7039284620879991,-0.6369588078074249,-0.6286015849560616,-0.6604231135777517,-0.6630525698771086,0.028434915376806296,16
0.004294013977050782,0.0006318776903314307,0.003058338165283203,0.000691367979828132,0.01687612475788148,0.05,"{'alpha': np.float64(0.01687612475788148), 'l1_ratio': 0.05}",-0.6852597892983211,-0.7032095408195814,-0.6365153305097226,-0.6287025564436856,-0.6606163046285052,-0.6628607043399632,0.028268861782019452,15
0.005341386795043946,0.0011161117808018,0.0035564422607421873,0.0006073270567273836,0.01687612475788148,0.2,"{'alpha': np.float64(0.01687612475788148), 'l1_ratio': 0.2}",-0.6855796634564036,-0.7041909255746414,-0.6373746402864414,-0.6292932426654195,-0.6607029196712745,-0.6634282783308361,0.028297341106029588,17
